Sentença	Id	Index	Granularidade	Documento
PF incinera 375 kg de substâncias entorpecentes no Rio Grande do Norte	122	0	0	PF incinera 375 kg de substâncias entorpecentes no Rio Grande do Norte
121	122	-1	1	PF incinera 375 kg de substâncias entorpecentes no Rio Grande do Norte
PF prende suspeito de participar de vários roubos a agências dos Correios no Espírito Santo	123	0	0	PF prende suspeito de participar de vários roubos a agências dos Correios no Espírito Santo
122	123	-1	1	PF prende suspeito de participar de vários roubos a agências dos Correios no Espírito Santo
PF deflagra duas operações simultâneas visando combater a disseminação de pornografia infantil Operação Help X e Operação Infância	124	0	0	PF deflagra duas operações simultâneas visando combater a disseminação de pornografia infantil Operação Help X e Operação Infância Resgatada
Resgatada	124	1	0	PF deflagra duas operações simultâneas visando combater a disseminação de pornografia infantil Operação Help X e Operação Infância Resgatada
123	124	-1	1	PF deflagra duas operações simultâneas visando combater a disseminação de pornografia infantil Operação Help X e Operação Infância Resgatada
PF combate comércio ilegal de pássaros silvestres em Minas Gerais	125	0	0	PF combate comércio ilegal de pássaros silvestres em Minas Gerais
124	125	-1	1	PF combate comércio ilegal de pássaros silvestres em Minas Gerais
PF,	126	0	0	PF , em ação conjunta , apreende carregamento com aproximadamente 400 mil maços de cigarros contrabandeados
em ação conjunta, apreende carregamento com aproximadamente 400 mil maços de cigarros contrabandeados	126	1	0	PF , em ação conjunta , apreende carregamento com aproximadamente 400 mil maços de cigarros contrabandeados
125	126	-1	1	PF , em ação conjunta , apreende carregamento com aproximadamente 400 mil maços de cigarros contrabandeados
PF combate prática de crimes previdenciários em Pernambuco	127	0	0	PF combate prática de crimes previdenciários em Pernambuco
126	127	-1	1	PF combate prática de crimes previdenciários em Pernambuco
Polícia Federal prende mulheres com maconha na rodoviária de Foz do Iguaçu PR	128	0	0	Polícia Federal prende mulheres com maconha na rodoviária de Foz do Iguaçu PR
127	128	-1	1	Polícia Federal prende mulheres com maconha na rodoviária de Foz do Iguaçu PR
PF deflagra a Operação Bad Trip, para desarticular grupo criminoso especializado no tráfico de ecstasy	129	0	0	PF deflagra a Operação Bad Trip , para desarticular grupo criminoso especializado no tráfico de ecstasy
128	129	-1	1	PF deflagra a Operação Bad Trip , para desarticular grupo criminoso especializado no tráfico de ecstasy
PF combate crime eleitoral no Acre	130	0	0	PF combate crime eleitoral no Acre
129	130	-1	1	PF combate crime eleitoral no Acre
Polícia Federal deflagra Operação Raposo para investigar furtos de dispositivos eletrônicos em rgão público paranaense	131	0	0	Polícia Federal deflagra Operação Raposo para investigar furtos de dispositivos eletrônicos em rgão público paranaense
130	131	-1	1	Polícia Federal deflagra Operação Raposo para investigar furtos de dispositivos eletrônicos em rgão público paranaense
PF combate desvios de recursos públicos destinados ao combate à Covid - 19 no Piauí	132	0	0	PF combate desvios de recursos públicos destinados ao combate à Covid - 19 no Piauí
131	132	-1	1	PF combate desvios de recursos públicos destinados ao combate à Covid - 19 no Piauí
PF prende 2 pessoas identificadas pela receita com droga dentro de embalagens de café e remédios	133	0	0	PF prende 2 pessoas identificadas pela receita com droga dentro de embalagens de café e remédios
132	133	-1	1	PF prende 2 pessoas identificadas pela receita com droga dentro de embalagens de café e remédios
Polícia Federal cumpre mandado de prisão em desfavor de ex	134	0	0	Polícia Federal cumpre mandado de prisão em desfavor de ex - prefeito municipal de cidade vizinha
- prefeito municipal de cidade vizinha	134	1	0	Polícia Federal cumpre mandado de prisão em desfavor de ex - prefeito municipal de cidade vizinha
133	134	-1	1	Polícia Federal cumpre mandado de prisão em desfavor de ex - prefeito municipal de cidade vizinha
PF prende em flagrante por estelionato homem condenado por divulgar pornografia infantil	135	0	0	PF prende em flagrante por estelionato homem condenado por divulgar pornografia infantil
134	135	-1	1	PF prende em flagrante por estelionato homem condenado por divulgar pornografia infantil
PF prende, no Rio Grande do Norte, procurado pela Justiça de Goiás	136	0	0	PF prende , no Rio Grande do Norte , procurado pela Justiça de Goiás
135	136	-1	1	PF prende , no Rio Grande do Norte , procurado pela Justiça de Goiás
PF apreende 100 kg de cocaína no Mato Grosso	137	0	0	PF apreende 100 kg de cocaína no Mato Grosso
136	137	-1	1	PF apreende 100 kg de cocaína no Mato Grosso
PF, em ação conjunta, apreende cocaína no Rio Juruá	138	0	0	PF , em ação conjunta , apreende cocaína no Rio Juruá
137	138	-1	1	PF , em ação conjunta , apreende cocaína no Rio Juruá
Polícia Federal desarticula grupo criminoso responsável por fraudes na concessão de Benefícios Previdenciários	139	0	0	Polícia Federal desarticula grupo criminoso responsável por fraudes na concessão de Benefícios Previdenciários
138	139	-1	1	Polícia Federal desarticula grupo criminoso responsável por fraudes na concessão de Benefícios Previdenciários
Polícia Federal combate garimpo na Terra Indígena Yanomami.	140	0	0	Polícia Federal combate garimpo na Terra Indígena Yanomami .
139	140	-1	1	Polícia Federal combate garimpo na Terra Indígena Yanomami .
PF prende, no Rio de Janeiro, solicitante de passaporte foragido desde 2011	141	0	0	PF prende , no Rio de Janeiro , solicitante de passaporte foragido desde 2011
140	141	-1	1	PF prende , no Rio de Janeiro , solicitante de passaporte foragido desde 2011
Policiais apreendem essências de narguilé e cigarros eletrônicos na região da Vila Portes, em Foz do Iguaçu PR	142	0	0	Policiais apreendem essências de narguilé e cigarros eletrônicos na região da Vila Portes , em Foz do Iguaçu PR
141	142	-1	1	Policiais apreendem essências de narguilé e cigarros eletrônicos na região da Vila Portes , em Foz do Iguaçu PR
Ação integrada de órgãos federais divulga resultados da Operação Resgate nesta quinta - feira	143	0	0	Ação integrada de órgãos federais divulga resultados da Operação Resgate nesta quinta - feira
142	143	-1	1	Ação integrada de órgãos federais divulga resultados da Operação Resgate nesta quinta - feira
Policiais cumprem mandado de prisão na Ponte da Amizade	144	0	0	Policiais cumprem mandado de prisão na Ponte da Amizade
143	144	-1	1	Policiais cumprem mandado de prisão na Ponte da Amizade
PF combate crime de moeda falsa no Rio Grande do Norte	145	0	0	PF combate crime de moeda falsa no Rio Grande do Norte
144	145	-1	1	PF combate crime de moeda falsa no Rio Grande do Norte
PF deflagra a segunda fase da Operação Alcatraz, denominada	146	0	0	PF deflagra a segunda fase da Operação Alcatraz , denominada Hemorragia
Hemorragia	146	1	0	PF deflagra a segunda fase da Operação Alcatraz , denominada Hemorragia
145	146	-1	1	PF deflagra a segunda fase da Operação Alcatraz , denominada Hemorragia
PF, em ação integrada, realiza nova apreensão de agrotóxicos	147	0	0	PF , em ação integrada , realiza nova apreensão de agrotóxicos
146	147	-1	1	PF , em ação integrada , realiza nova apreensão de agrotóxicos
PF e PM apreendem 450 kg de agrotóxicos em Guaíra PR	148	0	0	PF e PM apreendem 450 kg de agrotóxicos em Guaíra PR
147	148	-1	1	PF e PM apreendem 450 kg de agrotóxicos em Guaíra PR
PF apreende quase 8 kg de cocaína em São Paulo	149	0	0	PF apreende quase 8 kg de cocaína em São Paulo
148	149	-1	1	PF apreende quase 8 kg de cocaína em São Paulo
Polícia Federal e Receita Federal apreendem 435 mil reais na fronteira com o Uruguai	150	0	0	Polícia Federal e Receita Federal apreendem 435 mil reais na fronteira com o Uruguai
149	150	-1	1	Polícia Federal e Receita Federal apreendem 435 mil reais na fronteira com o Uruguai
Polícia Federal realiza prisão de destinatário de drogas pelos Correios	151	0	0	Polícia Federal realiza prisão de destinatário de drogas pelos Correios
150	151	-1	1	Polícia Federal realiza prisão de destinatário de drogas pelos Correios
PF combate extração ilegal de minério de ouro no Pará	152	0	0	PF combate extração ilegal de minério de ouro no Pará
151	152	-1	1	PF combate extração ilegal de minério de ouro no Pará
PF,	153	0	0	PF , no âmbito da Operação Hórus , apreende mais um carregamento de maconha
no âmbito da Operação Hórus, apreende mais um carregamento de maconha	153	1	0	PF , no âmbito da Operação Hórus , apreende mais um carregamento de maconha
152	153	-1	1	PF , no âmbito da Operação Hórus , apreende mais um carregamento de maconha
Polícia Federal deflagra Operação Cash Delivery para apurar prejuízo de 600 mil reais a clientes da Caixa Econômica Federal de Jaguarão RS	154	0	0	Polícia Federal deflagra Operação Cash Delivery para apurar prejuízo de 600 mil reais a clientes da Caixa Econômica Federal de Jaguarão RS
153	154	-1	1	Polícia Federal deflagra Operação Cash Delivery para apurar prejuízo de 600 mil reais a clientes da Caixa Econômica Federal de Jaguarão RS
PF prende traficante holandês procurado pela Interpol no Rio de Janeiro	155	0	0	PF prende traficante holandês procurado pela Interpol no Rio de Janeiro
154	155	-1	1	PF prende traficante holandês procurado pela Interpol no Rio de Janeiro
PF combate divulgação de pornografia infantojuvenil pela internet	156	0	0	PF combate divulgação de pornografia infantojuvenil pela internet
155	156	-1	1	PF combate divulgação de pornografia infantojuvenil pela internet
PF extradita da Espanha procurada pela Interpol	157	0	0	PF extradita da Espanha procurada pela Interpol
156	157	-1	1	PF extradita da Espanha procurada pela Interpol
PF investiga desvio de recursos públicos destinados ao custeio de centros de educação infantil e creches	158	0	0	PF investiga desvio de recursos públicos destinados ao custeio de centros de educação infantil e creches
157	158	-1	1	PF investiga desvio de recursos públicos destinados ao custeio de centros de educação infantil e creches
Polícia Federal prende foragido da Justiça de Santa Catarina	159	0	0	Polícia Federal prende foragido da Justiça de Santa Catarina
158	159	-1	1	Polícia Federal prende foragido da Justiça de Santa Catarina
PF remove líder de facção criminosa para presídio federal	160	0	0	PF remove líder de facção criminosa para presídio federal
159	160	-1	1	PF remove líder de facção criminosa para presídio federal
PF prende suspeito de disseminação de pornografia infantil na internet	161	0	0	PF prende suspeito de disseminação de pornografia infantil na internet
160	161	-1	1	PF prende suspeito de disseminação de pornografia infantil na internet
Publicado edital do concurso da Polícia Federal	162	0	0	Publicado edital do concurso da Polícia Federal
161	162	-1	1	Publicado edital do concurso da Polícia Federal
PF, em ação conjunta com a PRF, apreendeu grande quantidade de cigarros no Litoral Sul	163	0	0	PF , em ação conjunta com a PRF , apreendeu grande quantidade de cigarros no Litoral Sul Potiguar
Potiguar	163	1	0	PF , em ação conjunta com a PRF , apreendeu grande quantidade de cigarros no Litoral Sul Potiguar
162	163	-1	1	PF , em ação conjunta com a PRF , apreendeu grande quantidade de cigarros no Litoral Sul Potiguar
PF prende por uso de documentos falsos	164	0	0	PF prende por uso de documentos falsos
163	164	-1	1	PF prende por uso de documentos falsos
PF, em ação conjunta, deflagrou a Operação Festa Branca em Rondônia	165	0	0	PF , em ação conjunta , deflagrou a Operação Festa Branca em Rondônia
164	165	-1	1	PF , em ação conjunta , deflagrou a Operação Festa Branca em Rondônia
PF desarticula grupo criminoso especializado em tráfico de drogas em Pernambuco	166	0	0	PF desarticula grupo criminoso especializado em tráfico de drogas em Pernambuco
165	166	-1	1	PF desarticula grupo criminoso especializado em tráfico de drogas em Pernambuco
PF prende por saques de benefícios fraudulentos do INSS	167	0	0	PF prende por saques de benefícios fraudulentos do INSS
166	167	-1	1	PF prende por saques de benefícios fraudulentos do INSS
PF deflagra mais uma fase da Operação Pesadelo no Espirito Santo	168	0	0	PF deflagra mais uma fase da Operação Pesadelo no Espirito Santo
167	168	-1	1	PF deflagra mais uma fase da Operação Pesadelo no Espirito Santo
PF prende quatro pessoas por tráfico de drogas em Roraima	169	0	0	PF prende quatro pessoas por tráfico de drogas em Roraima
168	169	-1	1	PF prende quatro pessoas por tráfico de drogas em Roraima
PF participa de visita a entidades estadunidenses responsáveis pelo combate ao tráfico de madeiras	170	0	0	PF participa de visita a entidades estadunidenses responsáveis pelo combate ao tráfico de madeiras
169	170	-1	1	PF participa de visita a entidades estadunidenses responsáveis pelo combate ao tráfico de madeiras
PF apreende embarcação preparada para o transporte de ilícitos	171	0	0	PF apreende embarcação preparada para o transporte de ilícitos
170	171	-1	1	PF apreende embarcação preparada para o transporte de ilícitos
OPERA	172	0	0	OPERA O H RUS PF apreende aproximadamente 250 mil maços de cigarros contrabandeados no Paraná
O H RUS PF apreende aproximadamente 250 mil maços de cigarros contrabandeados no Paraná	172	1	0	OPERA O H RUS PF apreende aproximadamente 250 mil maços de cigarros contrabandeados no Paraná
171	172	-1	1	OPERA O H RUS PF apreende aproximadamente 250 mil maços de cigarros contrabandeados no Paraná
PF deflagra operação	173	0	0	PF deflagra operação Tantos no combate ao crime de compra de votos no Ceará
Tantos no combate ao crime de compra de votos no Ceará	173	1	0	PF deflagra operação Tantos no combate ao crime de compra de votos no Ceará
172	173	-1	1	PF deflagra operação Tantos no combate ao crime de compra de votos no Ceará
PF apreende uma tonelada de maconha no Paraná	174	0	0	PF apreende uma tonelada de maconha no Paraná
173	174	-1	1	PF apreende uma tonelada de maconha no Paraná
PF cumpre mandado de prisão temporária de distribuidor de células falsas	175	0	0	PF cumpre mandado de prisão temporária de distribuidor de células falsas
174	175	-1	1	PF cumpre mandado de prisão temporária de distribuidor de células falsas
Polícia Federal realiza extradição de cidadão paraguaio, com destino à cidade de Buenos Aires Argentina	176	0	0	Polícia Federal realiza extradição de cidadão paraguaio , com destino à cidade de Buenos Aires Argentina
175	176	-1	1	Polícia Federal realiza extradição de cidadão paraguaio , com destino à cidade de Buenos Aires Argentina
Polícia Federal realiza primeira apreensão de cocaína do ano de 2021 no aeroporto internacional dos Guararapes	177	0	0	Polícia Federal realiza primeira apreensão de cocaína do ano de 2021 no aeroporto internacional dos Guararapes
176	177	-1	1	Polícia Federal realiza primeira apreensão de cocaína do ano de 2021 no aeroporto internacional dos Guararapes
PF participa da Operação Concórdia para combater tráfico de drogas e armas no Rio Grande do Norte	178	0	0	PF participa da Operação Concórdia para combater tráfico de drogas e armas no Rio Grande do Norte
177	178	-1	1	PF participa da Operação Concórdia para combater tráfico de drogas e armas no Rio Grande do Norte
PF apreende mais de uma tonelada de maconha	179	0	0	PF apreende mais de uma tonelada de maconha
178	179	-1	1	PF apreende mais de uma tonelada de maconha
PF e BPFRON apreendem dois veículos carregados com cigarros paraguaios	180	0	0	PF e BPFRON apreendem dois veículos carregados com cigarros paraguaios
179	180	-1	1	PF e BPFRON apreendem dois veículos carregados com cigarros paraguaios
PF e BPFRON apreendem carreta bi - trem carregada com cigarros contrabandeados	181	0	0	PF e BPFRON apreendem carreta bi - trem carregada com cigarros contrabandeados
180	181	-1	1	PF e BPFRON apreendem carreta bi - trem carregada com cigarros contrabandeados
PF e BPFRON apreendem três veículos carregados com cigarros paraguaios	182	0	0	PF e BPFRON apreendem três veículos carregados com cigarros paraguaios
181	182	-1	1	PF e BPFRON apreendem três veículos carregados com cigarros paraguaios
PF apreende droga despachada pelos Correios	183	0	0	PF apreende droga despachada pelos Correios
182	183	-1	1	PF apreende droga despachada pelos Correios
PF prende foragido da Justiça em Redenção PA	184	0	0	PF prende foragido da Justiça em Redenção PA
183	184	-1	1	PF prende foragido da Justiça em Redenção PA
PF prende passageiros com droga fixada ao corpo e dentro de embalagens de produtos	185	0	0	PF prende passageiros com droga fixada ao corpo e dentro de embalagens de produtos
184	185	-1	1	PF prende passageiros com droga fixada ao corpo e dentro de embalagens de produtos
PF e BPFRON apreendem carregamento de cigarros contrabandeados em Terra Roxa PR	186	0	0	PF e BPFRON apreendem carregamento de cigarros contrabandeados em Terra Roxa PR
185	186	-1	1	PF e BPFRON apreendem carregamento de cigarros contrabandeados em Terra Roxa PR
PF prende passageiro com droga oculta em fundo falso de mala	187	0	0	PF prende passageiro com droga oculta em fundo falso de mala
186	187	-1	1	PF prende passageiro com droga oculta em fundo falso de mala
PF deflagra a Operação Hermano para apurar esquema de corrupção em Iracema RR	188	0	0	PF deflagra a Operação Hermano para apurar esquema de corrupção em Iracema RR
187	188	-1	1	PF deflagra a Operação Hermano para apurar esquema de corrupção em Iracema RR
Polícia Federal combate crime de aquisição de moeda falsa em Alagoas	189	0	0	Polícia Federal combate crime de aquisição de moeda falsa em Alagoas
188	189	-1	1	Polícia Federal combate crime de aquisição de moeda falsa em Alagoas
Policiais apreendem veículo carregado com eletrônicos em Foz do Iguaçu PR	190	0	0	Policiais apreendem veículo carregado com eletrônicos em Foz do Iguaçu PR
189	190	-1	1	Policiais apreendem veículo carregado com eletrônicos em Foz do Iguaçu PR
Polícia Federal prende homem que adquiriu cédulas falsas em redes sociais	191	0	0	Polícia Federal prende homem que adquiriu cédulas falsas em redes sociais
190	191	-1	1	Polícia Federal prende homem que adquiriu cédulas falsas em redes sociais
Polícia Federal e Marinha do Brasil realizam ações de cooperação internacional para interceptar embarcação carregada com cocaína	192	0	0	Polícia Federal e Marinha do Brasil realizam ações de cooperação internacional para interceptar embarcação carregada com cocaína
191	192	-1	1	Polícia Federal e Marinha do Brasil realizam ações de cooperação internacional para interceptar embarcação carregada com cocaína
PF prende acusado de homicídio por meio de cooperação policial internacional	193	0	0	PF prende acusado de homicídio por meio de cooperação policial internacional
192	193	-1	1	PF prende acusado de homicídio por meio de cooperação policial internacional
Polícia Federal combate o crime de descaminho no Rio Grande do Sul	194	0	0	Polícia Federal combate o crime de descaminho no Rio Grande do Sul
193	194	-1	1	Polícia Federal combate o crime de descaminho no Rio Grande do Sul
Polícia Federal e BPFRON prendem motorista com caminhão carregado com cigarros paraguaios	195	0	0	Polícia Federal e BPFRON prendem motorista com caminhão carregado com cigarros paraguaios
194	195	-1	1	Polícia Federal e BPFRON prendem motorista com caminhão carregado com cigarros paraguaios
Polícia Federal e Marinha do Brasil trazem até a costa de Pernambuco veleiro interceptado com drogas no mar territorial brasileiro	196	0	0	Polícia Federal e Marinha do Brasil trazem até a costa de Pernambuco veleiro interceptado com drogas no mar territorial brasileiro
195	196	-1	1	Polícia Federal e Marinha do Brasil trazem até a costa de Pernambuco veleiro interceptado com drogas no mar territorial brasileiro
Operação Kambaí combate a prática de crimes ambientais em terra indígena	197	0	0	Operação Kambaí combate a prática de crimes ambientais em terra indígena
196	197	-1	1	Operação Kambaí combate a prática de crimes ambientais em terra indígena
Polícia Federal apreende cerca de meia tonelada de cocaína em avião no aeroporto de Salvador BA	198	0	0	Polícia Federal apreende cerca de meia tonelada de cocaína em avião no aeroporto de Salvador BA
197	198	-1	1	Polícia Federal apreende cerca de meia tonelada de cocaína em avião no aeroporto de Salvador BA
PF incinera 140 kg de droga em Cruzeiro do Sul	199	0	0	PF incinera 140 kg de droga em Cruzeiro do Sul
198	199	-1	1	PF incinera 140 kg de droga em Cruzeiro do Sul
PF deflagra Operação Creeper para combater fraudes bancárias no Espírito Santo	200	0	0	PF deflagra Operação Creeper para combater fraudes bancárias no Espírito Santo
199	200	-1	1	PF deflagra Operação Creeper para combater fraudes bancárias no Espírito Santo
PF prendeu homem que recebeu R 1 mil em cédulas falsas pelos Correios	201	0	0	PF prendeu homem que recebeu R 1 mil em cédulas falsas pelos Correios
200	201	-1	1	PF prendeu homem que recebeu R 1 mil em cédulas falsas pelos Correios
Polícia Federal e SENAD reiniciam a Operação Nova Aliança para erradicar cultivos de Cannabis	202	0	0	Polícia Federal e SENAD reiniciam a Operação Nova Aliança para erradicar cultivos de Cannabis
201	202	-1	1	Polícia Federal e SENAD reiniciam a Operação Nova Aliança para erradicar cultivos de Cannabis
PF deflagra Operação	203	0	0	PF deflagra Operação Reagente II para apurar desvios de recursos públicos destinados ao enfrentamento à COVID - 19 em Arraial PI e Isaías Coelho PI
Reagente II para apurar desvios de recursos públicos destinados ao enfrentamento à COVID - 19 em Arraial PI e Isaías Coelho PI	203	1	0	PF deflagra Operação Reagente II para apurar desvios de recursos públicos destinados ao enfrentamento à COVID - 19 em Arraial PI e Isaías Coelho PI
202	203	-1	1	PF deflagra Operação Reagente II para apurar desvios de recursos públicos destinados ao enfrentamento à COVID - 19 em Arraial PI e Isaías Coelho PI
PF investiga pessoa que atuava ilegalmente como psicólogo em Rondônia	204	0	0	PF investiga pessoa que atuava ilegalmente como psicólogo em Rondônia
203	204	-1	1	PF investiga pessoa que atuava ilegalmente como psicólogo em Rondônia
Polícia Federal prende mulher com notas falsas	205	0	0	Polícia Federal prende mulher com notas falsas
204	205	-1	1	Polícia Federal prende mulher com notas falsas
Polícia Federal cumpre mandados de busca e apreensão em Campo Grande MS	206	0	0	Polícia Federal cumpre mandados de busca e apreensão em Campo Grande MS
205	206	-1	1	Polícia Federal cumpre mandados de busca e apreensão em Campo Grande MS
PF realiza transporte e incineração de mais de 9 mil quilos de drogas	207	0	0	PF realiza transporte e incineração de mais de 9 mil quilos de drogas
206	207	-1	1	PF realiza transporte e incineração de mais de 9 mil quilos de drogas
PF combate tráfico internacional de drogas no Pará	208	0	0	PF combate tráfico internacional de drogas no Pará
207	208	-1	1	PF combate tráfico internacional de drogas no Pará
Policiais federais e policiais civis apreendem maconha na região do Lago Itaipu em Entre Rios do Oeste PR	209	0	0	Policiais federais e policiais civis apreendem maconha na região do Lago Itaipu em Entre Rios do Oeste PR
208	209	-1	1	Policiais federais e policiais civis apreendem maconha na região do Lago Itaipu em Entre Rios do Oeste PR
PF combate crime organizado na fronteira com a Guiana Francesa	210	0	0	PF combate crime organizado na fronteira com a Guiana Francesa
209	210	-1	1	PF combate crime organizado na fronteira com a Guiana Francesa
PF e BPFRON apreende mais três caminhões carregados de cigarros contrabandeados em Guaíra PR	211	0	0	PF e BPFRON apreende mais três caminhões carregados de cigarros contrabandeados em Guaíra PR
210	211	-1	1	PF e BPFRON apreende mais três caminhões carregados de cigarros contrabandeados em Guaíra PR
PF apreende cocaína dentro de embalagens de creme de cebolas e cumpre mandado de prisão em desfavor de ex - policial	212	0	0	PF apreende cocaína dentro de embalagens de creme de cebolas e cumpre mandado de prisão em desfavor de ex - policial
211	212	-1	1	PF apreende cocaína dentro de embalagens de creme de cebolas e cumpre mandado de prisão em desfavor de ex - policial
PF apreende mais de cinco quilos de cocaína dentro de casacos e em revestimento de mala	213	0	0	PF apreende mais de cinco quilos de cocaína dentro de casacos e em revestimento de mala
212	213	-1	1	PF apreende mais de cinco quilos de cocaína dentro de casacos e em revestimento de mala
PF combate o tráfico de drogas no Acre	214	0	0	PF combate o tráfico de drogas no Acre
213	214	-1	1	PF combate o tráfico de drogas no Acre
PF combate disseminação de pornografia com conteúdo infantojuvenil	215	0	0	PF combate disseminação de pornografia com conteúdo infantojuvenil
214	215	-1	1	PF combate disseminação de pornografia com conteúdo infantojuvenil
Polícia Federal deflagra, em Alagoas, mais uma fase de Operação Inocência	216	0	0	Polícia Federal deflagra , em Alagoas , mais uma fase de Operação Inocência Compartilhada 2
Compartilhada	216	1	0	Polícia Federal deflagra , em Alagoas , mais uma fase de Operação Inocência Compartilhada 2
2	216	2	0	Polícia Federal deflagra , em Alagoas , mais uma fase de Operação Inocência Compartilhada 2
215	216	-1	1	Polícia Federal deflagra , em Alagoas , mais uma fase de Operação Inocência Compartilhada 2
Polícia Federal deflagra Operação UFR GIO para investigar esquema de crimes eleitorais no Rio de Janeiro.	217	0	0	Polícia Federal deflagra Operação UFR GIO para investigar esquema de crimes eleitorais no Rio de Janeiro .
216	217	-1	1	Polícia Federal deflagra Operação UFR GIO para investigar esquema de crimes eleitorais no Rio de Janeiro .
PF desmantela grupo criminoso especializado no contrabando de cigarros de origem paraguaia	218	0	0	PF desmantela grupo criminoso especializado no contrabando de cigarros de origem paraguaia
217	218	-1	1	PF desmantela grupo criminoso especializado no contrabando de cigarros de origem paraguaia
Operação Quinta Coluna reprime célula criminosa envolvida com tráfico de drogas em aeronaves da FAB	219	0	0	Operação Quinta Coluna reprime célula criminosa envolvida com tráfico de drogas em aeronaves da FAB
218	219	-1	1	Operação Quinta Coluna reprime célula criminosa envolvida com tráfico de drogas em aeronaves da FAB
PF em ação conjunta com a Receita apreende droga e petrechos para arma de fogo	220	0	0	PF em ação conjunta com a Receita apreende droga e petrechos para arma de fogo
219	220	-1	1	PF em ação conjunta com a Receita apreende droga e petrechos para arma de fogo
PF resgata brasileiras vítimas de tráfico humano na Bolívia	221	0	0	PF resgata brasileiras vítimas de tráfico humano na Bolívia
220	221	-1	1	PF resgata brasileiras vítimas de tráfico humano na Bolívia
Polícia Federal incinera mais de meia tonelada de drogas em Tabatinga	222	0	0	Polícia Federal incinera mais de meia tonelada de drogas em Tabatinga
221	222	-1	1	Polícia Federal incinera mais de meia tonelada de drogas em Tabatinga
Polícia Federal deflagra Operação	223	0	0	Polícia Federal deflagra Operação Ponto Final II
Ponto	223	1	0	Polícia Federal deflagra Operação Ponto Final II
Final	223	2	0	Polícia Federal deflagra Operação Ponto Final II
II	223	3	0	Polícia Federal deflagra Operação Ponto Final II
222	223	-1	1	Polícia Federal deflagra Operação Ponto Final II
Polícia Federal prende homem com notas falsas	224	0	0	Polícia Federal prende homem com notas falsas
223	224	-1	1	Polícia Federal prende homem com notas falsas
PF prende mulher em flagrante por tráfico de drogas	225	0	0	PF prende mulher em flagrante por tráfico de drogas
224	225	-1	1	PF prende mulher em flagrante por tráfico de drogas
Polícia Federal incinera aproximadamente meia tonelada de drogas no Acre	226	0	0	Polícia Federal incinera aproximadamente meia tonelada de drogas no Acre
225	226	-1	1	Polícia Federal incinera aproximadamente meia tonelada de drogas no Acre
Polícia Federal combate fraude em licenças minerais e ambientais	227	0	0	Polícia Federal combate fraude em licenças minerais e ambientais
226	227	-1	1	Polícia Federal combate fraude em licenças minerais e ambientais
Polícia Federal deflagra Operação Fiscela para reprimir crimes contra a Previdência Social	228	0	0	Polícia Federal deflagra Operação Fiscela para reprimir crimes contra a Previdência Social
227	228	-1	1	Polícia Federal deflagra Operação Fiscela para reprimir crimes contra a Previdência Social
Polícia Federal prende quatro pessoas em flagrante por descaminho em Foz do Iguaçu PR	229	0	0	Polícia Federal prende quatro pessoas em flagrante por descaminho em Foz do Iguaçu PR
228	229	-1	1	Polícia Federal prende quatro pessoas em flagrante por descaminho em Foz do Iguaçu PR
PF e BPFRON apreendem veículos e cigarro contrabandeado	230	0	0	PF e BPFRON apreendem veículos e cigarro contrabandeado
229	230	-1	1	PF e BPFRON apreendem veículos e cigarro contrabandeado
Polícia Federal e GEFRON AC realizaram apreensão de mais de R 60 mil	231	0	0	Polícia Federal e GEFRON AC realizaram apreensão de mais de R 60 mil
230	231	-1	1	Polícia Federal e GEFRON AC realizaram apreensão de mais de R 60 mil
PF e BPFRON apreendem um veículo carregado com cigarros de origem paraguaia	232	0	0	PF e BPFRON apreendem um veículo carregado com cigarros de origem paraguaia
231	232	-1	1	PF e BPFRON apreendem um veículo carregado com cigarros de origem paraguaia
Polícia Federal prende quatro pessoas por promoção de migração ilegal na fronteira com a Guiana.	233	0	0	Polícia Federal prende quatro pessoas por promoção de migração ilegal na fronteira com a Guiana .
232	233	-1	1	Polícia Federal prende quatro pessoas por promoção de migração ilegal na fronteira com a Guiana .
Polícia Federal reprime invasão de terras no Amapá	234	0	0	Polícia Federal reprime invasão de terras no Amapá
233	234	-1	1	Polícia Federal reprime invasão de terras no Amapá
Nota à imprensa	235	0	0	Nota à imprensa
234	235	-1	1	Nota à imprensa
Polícia Federal combate crime de moeda falsa em Bagé RS	236	0	0	Polícia Federal combate crime de moeda falsa em Bagé RS
235	236	-1	1	Polícia Federal combate crime de moeda falsa em Bagé RS
PF deflagra Operação Hydra para investigar obtenção fraudulenta de benefício social	237	0	0	PF deflagra Operação Hydra para investigar obtenção fraudulenta de benefício social
236	237	-1	1	PF deflagra Operação Hydra para investigar obtenção fraudulenta de benefício social
Policiais prendem em flagrante duas pessoas, na rodoviária de Céu Azul PR, com fuzis e carregadores	238	0	0	Policiais prendem em flagrante duas pessoas , na rodoviária de Céu Azul PR , com fuzis e carregadores
237	238	-1	1	Policiais prendem em flagrante duas pessoas , na rodoviária de Céu Azul PR , com fuzis e carregadores
A Polícia Federal desarticula esquema de desvios de Recursos do Fundo Municipal de Saúde em Araguaína TO.	239	0	0	A Polícia Federal desarticula esquema de desvios de Recursos do Fundo Municipal de Saúde em Araguaína TO .
238	239	-1	1	A Polícia Federal desarticula esquema de desvios de Recursos do Fundo Municipal de Saúde em Araguaína TO .
