id;sentencas;documento
204;['PF investiga pessoa que atuava ilegalmente como psicólogo em Rondônia'];PF investiga pessoa que atuava ilegalmente como psicólogo em Rondônia
205;['Polícia Federal prende mulher com notas falsas'];Polícia Federal prende mulher com notas falsas
206;['Polícia Federal cumpre mandados de busca e apreensão em Campo Grande MS'];Polícia Federal cumpre mandados de busca e apreensão em Campo Grande MS
207;['PF realiza transporte e incineração de mais de 9 mil quilos de drogas'];PF realiza transporte e incineração de mais de 9 mil quilos de drogas
208;['PF combate tráfico internacional de drogas no Pará'];PF combate tráfico internacional de drogas no Pará
209;['Policiais federais e policiais civis apreendem maconha na região do Lago Itaipu em Entre Rios do Oeste PR'];Policiais federais e policiais civis apreendem maconha na região do Lago Itaipu em Entre Rios do Oeste PR
210;['PF combate crime organizado na fronteira com a Guiana Francesa'];PF combate crime organizado na fronteira com a Guiana Francesa
211;['PF e BPFRON apreende mais três caminhões carregados de cigarros contrabandeados em Guaíra PR'];PF e BPFRON apreende mais três caminhões carregados de cigarros contrabandeados em Guaíra PR
212;['PF apreende cocaína dentro de embalagens de creme de cebolas e cumpre mandado de prisão em desfavor de ex - policial'];PF apreende cocaína dentro de embalagens de creme de cebolas e cumpre mandado de prisão em desfavor de ex - policial
213;['PF apreende mais de cinco quilos de cocaína dentro de casacos e em revestimento de mala'];PF apreende mais de cinco quilos de cocaína dentro de casacos e em revestimento de mala
214;['PF combate o tráfico de drogas no Acre'];PF combate o tráfico de drogas no Acre
215;['PF combate disseminação de pornografia com conteúdo infantojuvenil'];PF combate disseminação de pornografia com conteúdo infantojuvenil
216;['Polícia Federal deflagra, em Alagoas, mais uma fase de Operação Inocência', 'Compartilhada', '2'];Polícia Federal deflagra, em Alagoas, mais uma fase de Operação Inocência Compartilhada 2
217;['Polícia Federal deflagra Operação UFR GIO para investigar esquema de crimes eleitorais no Rio de Janeiro.'];Polícia Federal deflagra Operação UFR GIO para investigar esquema de crimes eleitorais no Rio de Janeiro.
218;['PF desmantela grupo criminoso especializado no contrabando de cigarros de origem paraguaia'];PF desmantela grupo criminoso especializado no contrabando de cigarros de origem paraguaia
219;['Operação Quinta Coluna reprime célula criminosa envolvida com tráfico de drogas em aeronaves da FAB'];Operação Quinta Coluna reprime célula criminosa envolvida com tráfico de drogas em aeronaves da FAB
220;['PF em ação conjunta com a Receita apreende droga e petrechos para arma de fogo'];PF em ação conjunta com a Receita apreende droga e petrechos para arma de fogo
221;['PF resgata brasileiras vítimas de tráfico humano na Bolívia'];PF resgata brasileiras vítimas de tráfico humano na Bolívia
222;['Polícia Federal incinera mais de meia tonelada de drogas em Tabatinga'];Polícia Federal incinera mais de meia tonelada de drogas em Tabatinga
223;['Polícia Federal deflagra Operação', 'Ponto', 'Final', 'II'];Polícia Federal deflagra Operação Ponto Final II
224;['Polícia Federal prende homem com notas falsas'];Polícia Federal prende homem com notas falsas
225;['PF prende mulher em flagrante por tráfico de drogas'];PF prende mulher em flagrante por tráfico de drogas
226;['Polícia Federal incinera aproximadamente meia tonelada de drogas no Acre'];Polícia Federal incinera aproximadamente meia tonelada de drogas no Acre
227;['Polícia Federal combate fraude em licenças minerais e ambientais'];Polícia Federal combate fraude em licenças minerais e ambientais
228;['Polícia Federal deflagra Operação Fiscela para reprimir crimes contra a Previdência Social'];Polícia Federal deflagra Operação Fiscela para reprimir crimes contra a Previdência Social
229;['Polícia Federal prende quatro pessoas em flagrante por descaminho em Foz do Iguaçu PR'];Polícia Federal prende quatro pessoas em flagrante por descaminho em Foz do Iguaçu PR
230;['PF e BPFRON apreendem veículos e cigarro contrabandeado'];PF e BPFRON apreendem veículos e cigarro contrabandeado
231;['Polícia Federal e GEFRON AC realizaram apreensão de mais de R 60 mil'];Polícia Federal e GEFRON AC realizaram apreensão de mais de R 60 mil
232;['PF e BPFRON apreendem um veículo carregado com cigarros de origem paraguaia'];PF e BPFRON apreendem um veículo carregado com cigarros de origem paraguaia
233;['Polícia Federal prende quatro pessoas por promoção de migração ilegal na fronteira com a Guiana.'];Polícia Federal prende quatro pessoas por promoção de migração ilegal na fronteira com a Guiana.
234;['Polícia Federal reprime invasão de terras no Amapá'];Polícia Federal reprime invasão de terras no Amapá
235;['Nota à imprensa'];Nota à imprensa
236;['Polícia Federal combate crime de moeda falsa em Bagé RS'];Polícia Federal combate crime de moeda falsa em Bagé RS
237;['PF deflagra Operação Hydra para investigar obtenção fraudulenta de benefício social'];PF deflagra Operação Hydra para investigar obtenção fraudulenta de benefício social
238;['Policiais prendem em flagrante duas pessoas, na rodoviária de Céu Azul PR, com fuzis e carregadores'];Policiais prendem em flagrante duas pessoas, na rodoviária de Céu Azul PR, com fuzis e carregadores
239;['A Polícia Federal desarticula esquema de desvios de Recursos do Fundo Municipal de Saúde em Araguaína TO.'];A Polícia Federal desarticula esquema de desvios de Recursos do Fundo Municipal de Saúde em Araguaína TO.
240;['PF apura extravio de respiradores da Santa Casa de Montes Claros MG'];PF apura extravio de respiradores da Santa Casa de Montes Claros MG
241;['Polícia Federal já prendeu doze procurados internacionais em 2021'];Polícia Federal já prendeu doze procurados internacionais em 2021
242;['PF deflagra a Operação Papel Branco e desarticula esquema de emissão de laudos fraudulentos em Minas Gerais'];PF deflagra a Operação Papel Branco e desarticula esquema de emissão de laudos fraudulentos em Minas Gerais
243;['PF prende foragido da Justiça em Minas Gerais'];PF prende foragido da Justiça em Minas Gerais
244;['Polícia Federal e Polícia Militar de São Paulo realizam a apreensão de mais de 180 quilos de pasta base de cocaína'];Polícia Federal e Polícia Militar de São Paulo realizam a apreensão de mais de 180 quilos de pasta base de cocaína
245;['PF recupera peças arqueológicas estrangeiras'];PF recupera peças arqueológicas estrangeiras
246;['PF desarticula organização criminosa voltada ao tráfico de drogas e crimes violentos nos estados do Acre e Mato Grosso do Sul'];PF desarticula organização criminosa voltada ao tráfico de drogas e crimes violentos nos estados do Acre e Mato Grosso do Sul
247;['PF deflagra operação', 'Desmascarados para apurar possíveis fraudes em licitação no RJ'];PF deflagra operação Desmascarados para apurar possíveis fraudes em licitação no RJ
248;['PF apreende droga dentro de latas de compota de frutas'];PF apreende droga dentro de latas de compota de frutas
249;['PF combate fraude fundiária no Amapá'];PF combate fraude fundiária no Amapá
250;['PF e TIGRE PCPR apreendem três embarcações no Rio Paraná'];PF e TIGRE PCPR apreendem três embarcações no Rio Paraná
251;['PF prende homem quando recebia cocaína via Correios em Natal RN'];PF prende homem quando recebia cocaína via Correios em Natal RN
252;['PF deflagra a terceira fase da Operação Bad Trip'];PF deflagra a terceira fase da Operação Bad Trip
253;['PF combate fraudes em licitações, corrupção e desvios de recursos públicos em prefeitura do RN'];PF combate fraudes em licitações, corrupção e desvios de recursos públicos em prefeitura do RN
254;['Polícia Federal e Interpol prendem foragidos da Operação Enterprise'];Polícia Federal e Interpol prendem foragidos da Operação Enterprise
255;['PF apreendeu 32 quilos de cocaína dentro de prumos de construção'];PF apreendeu 32 quilos de cocaína dentro de prumos de construção
256;['PF e BPFRON apreendem carregadores de arma de fogo em Santa Terezinha de Itaipu PR, no âmbito da Operação Hórus e Programa', 'VIGIA'];PF e BPFRON apreendem carregadores de arma de fogo em Santa Terezinha de Itaipu PR, no âmbito da Operação Hórus e Programa VIGIA
257;['PF, em ação integrada, combate o tráfico de drogas em Roraima'];PF, em ação integrada, combate o tráfico de drogas em Roraima
258;['PF combate fraude em auxílios emergenciais'];PF combate fraude em auxílios emergenciais
259;['PF combate a comercialização de cigarros contrabandeados'];PF combate a comercialização de cigarros contrabandeados
260;['Polícia Federal, em ação conjunta com a Polícia Militar, apreendeu mais de 3 kg de cocaína'];Polícia Federal, em ação conjunta com a Polícia Militar, apreendeu mais de 3 kg de cocaína
261;['PF,', 'em operação conjunta com a Polícia Militar BEPI realiza erradicação de 1.', '600 pés de maconha na zona rural do município de Orocó PE'];PF, em operação conjunta com a Polícia Militar BEPI realiza erradicação de 1. 600 pés de maconha na zona rural do município de Orocó PE
262;['PF desarticula organização criminosa volta à lavagem de dinheiro oriundo do tráfico de drogas'];PF desarticula organização criminosa volta à lavagem de dinheiro oriundo do tráfico de drogas
263;['PF deflagra Operação', 'A - 21 para combater a disseminação de pornografia infantojuvenil'];PF deflagra Operação A - 21 para combater a disseminação de pornografia infantojuvenil
264;['PF deflagra Operação Faraó para combater tráfico de drogas sintéticas no Espírito Santo'];PF deflagra Operação Faraó para combater tráfico de drogas sintéticas no Espírito Santo
265;['Polícia Federal deflagra Operação Lavaggio para apurar crime de lavagem de dinheiro decorrente de tráfico internacional de drogas'];Polícia Federal deflagra Operação Lavaggio para apurar crime de lavagem de dinheiro decorrente de tráfico internacional de drogas
266;['PF, em ação integrada, apreende caminhão carregado com cigarros contrabandeados'];PF, em ação integrada, apreende caminhão carregado com cigarros contrabandeados
267;['Polícia Federal cumpre mandado de prisão em Pernambuco contra um foragido italiano'];Polícia Federal cumpre mandado de prisão em Pernambuco contra um foragido italiano
268;['PF deflagra operação para investigar desvios de verbas do SUS em Timbaúba PE'];PF deflagra operação para investigar desvios de verbas do SUS em Timbaúba PE
269;['PF apreende cerca de 170 de cocaína no Porto de Paranaguá'];PF apreende cerca de 170 de cocaína no Porto de Paranaguá
270;['PF e BPFRON apreende carregamento de cigarros paraguaios.'];PF e BPFRON apreende carregamento de cigarros paraguaios.
271;['PF, em parceria com a FICCO Uberaba e PMRE Iturama - MG, realiza apreensão de aproximadamente uma tonelada de maconha'];PF, em parceria com a FICCO Uberaba e PMRE Iturama - MG, realiza apreensão de aproximadamente uma tonelada de maconha
272;['Polícia Federal apreende caminhão com grande carga de crack'];Polícia Federal apreende caminhão com grande carga de crack
273;['PF apreende 6 kg de droga em frascos de perfumes'];PF apreende 6 kg de droga em frascos de perfumes
274;['PF e BPFRON apreendem um veículo carregado com contrabando'];PF e BPFRON apreendem um veículo carregado com contrabando
275;['PF combate crime de moeda falsa no Acre'];PF combate crime de moeda falsa no Acre
276;['PF apreende 600 kg de maconha em Campo Grande MS'];PF apreende 600 kg de maconha em Campo Grande MS
277;['PF deflagra Operação Veneza em São Paulo'];PF deflagra Operação Veneza em São Paulo
278;['PF combate fraudes bancárias no Pará'];PF combate fraudes bancárias no Pará
279;['PF e BPFRON apreende dois veículos carregados com cigarros paraguaios'];PF e BPFRON apreende dois veículos carregados com cigarros paraguaios
280;['Polícia Federal prende mulher com notas falsas'];Polícia Federal prende mulher com notas falsas
281;['PF e BPFRON apreendem quatro veículos carregados com cigarros paraguaios'];PF e BPFRON apreendem quatro veículos carregados com cigarros paraguaios
282;['PF, em ação integrada, apreende cerca de 50 mil maços de cigarros paraguaios'];PF, em ação integrada, apreende cerca de 50 mil maços de cigarros paraguaios
283;['PF e BPFRON apreendem oito veículos carregados com cigarros paraguaios'];PF e BPFRON apreendem oito veículos carregados com cigarros paraguaios
284;['PF e BPFRON apreendem dois veículos carregados com cigarros paraguaios'];PF e BPFRON apreendem dois veículos carregados com cigarros paraguaios
285;['PF incinera mais de 8 mil quilos de drogas apreendidas na circunscrição de Araraquara SP'];PF incinera mais de 8 mil quilos de drogas apreendidas na circunscrição de Araraquara SP
286;['PF investiga crime de usurpação de cargo público em Sorocaba SP'];PF investiga crime de usurpação de cargo público em Sorocaba SP
287;['Polícia Federal deflagra a maior ação de combate a fraudes contra benefícios emergenciais'];Polícia Federal deflagra a maior ação de combate a fraudes contra benefícios emergenciais
288;['PF apreende carga de 220kg de cocaína no Porto de Paranaguá'];PF apreende carga de 220kg de cocaína no Porto de Paranaguá
289;['PF apreende grande quantidade de cocaína na Zona Norte do Rio de Janeiro'];PF apreende grande quantidade de cocaína na Zona Norte do Rio de Janeiro
290;['Polícia Federal deflagra', '80', 'Fase da Operação Lava Jato -', 'Operação PSEUDEIA'];Polícia Federal deflagra 80 Fase da Operação Lava Jato - Operação PSEUDEIA
291;['PF combate esquema de fraudes contra o sistema previdenciário em MT'];PF combate esquema de fraudes contra o sistema previdenciário em MT
292;['PF, em ação integrada combate fraudes em receitas médicas'];PF, em ação integrada combate fraudes em receitas médicas
293;['PF desarticula associação voltada à prática do crime de tráfico de drogas'];PF desarticula associação voltada à prática do crime de tráfico de drogas
294;['Polícia Federal deflagra Operação Pronta', 'Emergência para combater desvios de recursos públicos no Rio de Janeiro'];Polícia Federal deflagra Operação Pronta Emergência para combater desvios de recursos públicos no Rio de Janeiro
295;['PF combate a prática de crimes eleitorais em Campina Grande PB'];PF combate a prática de crimes eleitorais em Campina Grande PB
296;['PF realiza operação de combate a fraudes em licitações e desvio de verbas públicas no Sudoeste baiano'];PF realiza operação de combate a fraudes em licitações e desvio de verbas públicas no Sudoeste baiano
297;['PF apreende droga dentro de frascos de medicamento'];PF apreende droga dentro de frascos de medicamento
298;['Polícia Federal incinera 7, 3 toneladas de drogas em Três Lagoas MS'];Polícia Federal incinera 7, 3 toneladas de drogas em Três Lagoas MS
299;['PF e Força Integrada deflagram Operação Fronteira', 'Fechada contra o tráfico de drogas no Acre'];PF e Força Integrada deflagram Operação Fronteira Fechada contra o tráfico de drogas no Acre
300;['PF, em ação integrada, desarticula organização criminosa voltada ao tráfico de drogas'];PF, em ação integrada, desarticula organização criminosa voltada ao tráfico de drogas
301;['PF realiza a primeira incineração de drogas do ano em Guaíra PR'];PF realiza a primeira incineração de drogas do ano em Guaíra PR
302;['PF investiga possível crime de comércio ilegal de pedras preciosas'];PF investiga possível crime de comércio ilegal de pedras preciosas
303;['PF e BPFRON apreendem embarcação abandonada no Rio Iguaçu, no âmbito da Operação Hórus e Programa', 'VIGIA'];PF e BPFRON apreendem embarcação abandonada no Rio Iguaçu, no âmbito da Operação Hórus e Programa VIGIA
304;['Operação Palha Grande desarticula esquema de fraudes contra o INSS no Recôncavo Baiano'];Operação Palha Grande desarticula esquema de fraudes contra o INSS no Recôncavo Baiano
305;['Polícia Federal prende homem com 2 mil reais em cédulas falsas recebidas pelos Correios em Foz do Iguaçu PR'];Polícia Federal prende homem com 2 mil reais em cédulas falsas recebidas pelos Correios em Foz do Iguaçu PR
306;['Operação Advenus combate crime de promoção de migração ilegal no Acre'];Operação Advenus combate crime de promoção de migração ilegal no Acre
307;['PF prende em Natal britânico procurado pela Interpol'];PF prende em Natal britânico procurado pela Interpol
308;['Operação Lux combate fraude em fundo municipal previdenciário de Luziânia GO'];Operação Lux combate fraude em fundo municipal previdenciário de Luziânia GO
309;['Polícia Federal prende liderança de facção criminosa'];Polícia Federal prende liderança de facção criminosa
310;['PF e Receita apreendem 9 kg de cocaína ocultos nas estruturas de malas de viagem'];PF e Receita apreendem 9 kg de cocaína ocultos nas estruturas de malas de viagem
311;['Polícia Federal combate crimes eleitorais em Oiapoque'];Polícia Federal combate crimes eleitorais em Oiapoque
312;['Polícia Federal apreende helicóptero com grande carga de cocaína'];Polícia Federal apreende helicóptero com grande carga de cocaína
313;['PF cumpre mandado de prisão expedido pelo STJ'];PF cumpre mandado de prisão expedido pelo STJ
314;['Polícia Federal deflagra operação de combate ao contrabando de cigarros na região norte do Estado do Rio Grande do Sul'];Polícia Federal deflagra operação de combate ao contrabando de cigarros na região norte do Estado do Rio Grande do Sul
315;['PF e BPFRON apreendem carreta bi - trem carregada com cigarros contrabandeados'];PF e BPFRON apreendem carreta bi - trem carregada com cigarros contrabandeados
316;['Polícia Federal incinera, em Ponta Porã, 12 toneladas de entorpecentes com apoio da Força Nacional'];Polícia Federal incinera, em Ponta Porã, 12 toneladas de entorpecentes com apoio da Força Nacional
317;['PF apreende 246 kg de maconha e 36 sacos de skank no Mato Grosso'];PF apreende 246 kg de maconha e 36 sacos de skank no Mato Grosso
318;['PF deflagra Operação Manzana para combater ilegalidades em vendas de aparelhos eletrônicos em Pernambuco'];PF deflagra Operação Manzana para combater ilegalidades em vendas de aparelhos eletrônicos em Pernambuco
319;['PF apreende cerca de 500 comprimidos de ecstasy no interior do RN'];PF apreende cerca de 500 comprimidos de ecstasy no interior do RN
320;['PF apreende 31 kg de cocaína na Rodovia', 'Presidente Dutra'];PF apreende 31 kg de cocaína na Rodovia Presidente Dutra
321;['PF deflagra a Operação Dotted Roses para combater os crimes de produção de conteúdo com pornografia infantojuvenil e exploração sexual de crianças'];PF deflagra a Operação Dotted Roses para combater os crimes de produção de conteúdo com pornografia infantojuvenil e exploração sexual de crianças
322;['Polícia Federal e BPFRON apreendem dois veículos carregados com cigarros contrabandeados.'];Polícia Federal e BPFRON apreendem dois veículos carregados com cigarros contrabandeados.
323;['PF prende mulher portando 14 kg de maconha no Aeroporto de Fortaleza'];PF prende mulher portando 14 kg de maconha no Aeroporto de Fortaleza
324;['PF prende duas pessoas por invadir terras públicas no Mato Grosso'];PF prende duas pessoas por invadir terras públicas no Mato Grosso
325;['PF combate o tráfico de drogas e a lavagem de dinheiro em Sergipe'];PF combate o tráfico de drogas e a lavagem de dinheiro em Sergipe
326;['PF encerra atividade de rádio clandestina em Nova Xavantina MT'];PF encerra atividade de rádio clandestina em Nova Xavantina MT
327;['PF deflagra Operação Argos para investigar desvios de dinheiro público em contratos de cerca de R 10 milhões em Pacaraima RR'];PF deflagra Operação Argos para investigar desvios de dinheiro público em contratos de cerca de R 10 milhões em Pacaraima RR
328;['PF viabiliza a travessia de tripulantes terrestres detidos em fronteira entre Brasil e Peru'];PF viabiliza a travessia de tripulantes terrestres detidos em fronteira entre Brasil e Peru
329;['PF combate disseminação de pornografia infantojuvenil pela internet'];PF combate disseminação de pornografia infantojuvenil pela internet
330;['Polícia Federal prende no Ceará homem foragido do Sistema Prisional do RN'];Polícia Federal prende no Ceará homem foragido do Sistema Prisional do RN
331;['Polícia Federal combate fraude à licitação no Amapá'];Polícia Federal combate fraude à licitação no Amapá
332;['PF combate crime de evasão de divisas no Acre'];PF combate crime de evasão de divisas no Acre
333;['PF apreende agasalhos recheados com cocaína'];PF apreende agasalhos recheados com cocaína
334;['PF combate tráfico de armas em Oiapoque', 'AP'];PF combate tráfico de armas em Oiapoque AP
335;['PF,', 'em ação conjunta com a Receita, apreende mais de 45 kg de cocaína'];PF, em ação conjunta com a Receita, apreende mais de 45 kg de cocaína
336;['Polícia Federal comemora 77 anos'];Polícia Federal comemora 77 anos
337;['Polícia Federal combate extração ilegal de minério'];Polícia Federal combate extração ilegal de minério
338;['PF apura suposta importação de vacinas contra covid - 19'];PF apura suposta importação de vacinas contra covid - 19
339;['Polícia Federal e Receita Federal apreendem 3, 5 quilos de skunk na fronteira com o Uruguai'];Polícia Federal e Receita Federal apreendem 3, 5 quilos de skunk na fronteira com o Uruguai
340;['Polícia Federal deflagra Operação Caixa 38'];Polícia Federal deflagra Operação Caixa 38
341;['Policiais apreendem veículo carregado com cigarros em Itaipulândia PR'];Policiais apreendem veículo carregado com cigarros em Itaipulândia PR
342;['Policiais federais e policiais militares do BPFRON prendem indivíduo em flagrante por contrabando, em Medianeira PR'];Policiais federais e policiais militares do BPFRON prendem indivíduo em flagrante por contrabando, em Medianeira PR
343;['Polícia Federal participa de ação internacional que resultou na apreensão de 6 toneladas de cocaína'];Polícia Federal participa de ação internacional que resultou na apreensão de 6 toneladas de cocaína
344;['PF apreende cerca de 4, 5 mil maços de cigarros de origem paraguaia'];PF apreende cerca de 4, 5 mil maços de cigarros de origem paraguaia
345;['Polícia Federal participa de visita técnica ao Porto de Cabedelo PB'];Polícia Federal participa de visita técnica ao Porto de Cabedelo PB
346;['Polícia Federal apreende cigarros contrabandeados na fronteira com o Paraguai'];Polícia Federal apreende cigarros contrabandeados na fronteira com o Paraguai
347;['Polícia Federal desarticula grupo criminoso responsável por falsa oferta de venda de vacinas para o Ministério da Saúde'];Polícia Federal desarticula grupo criminoso responsável por falsa oferta de venda de vacinas para o Ministério da Saúde
348;['Policiais apreendem caminhão carregado com cigarros e duas embarcações em Santa Helena PR'];Policiais apreendem caminhão carregado com cigarros e duas embarcações em Santa Helena PR
349;['Polícia Federal deflagra Operação', 'Ianomâmi 709 de combate', 'o garimpo ilegal em Roraima'];Polícia Federal deflagra Operação Ianomâmi 709 de combate o garimpo ilegal em Roraima
350;['PF prende no Brasil um dos criminosos mais procurados do Paraguai'];PF prende no Brasil um dos criminosos mais procurados do Paraguai
351;['Polícia Federal deflagra operação para combater falsificação de dinheiro em onze Estados'];Polícia Federal deflagra operação para combater falsificação de dinheiro em onze Estados
352;['Polícia Federal participa da Operação Trigger VI promovida pela INTERPOL'];Polícia Federal participa da Operação Trigger VI promovida pela INTERPOL
353;['PF e BPFRON', 'PMPR prendem homem com mandado de prisão em aberto pelo crime de roubo'];PF e BPFRON PMPR prendem homem com mandado de prisão em aberto pelo crime de roubo
354;['PF investiga comercialização e aplicação de vacinas contra Covid - 19 de origem ilícita'];PF investiga comercialização e aplicação de vacinas contra Covid - 19 de origem ilícita
355;['Polícia Federal deflagra operação contra grupo criminoso ligado ao tráfico de entorpecentes'];Polícia Federal deflagra operação contra grupo criminoso ligado ao tráfico de entorpecentes
356;['PF apreende drogas no Porto de Santos'];PF apreende drogas no Porto de Santos
357;['Polícia Federal deflagra segunda fase de Operação Denarius para combater crimes de moeda falsa'];Polícia Federal deflagra segunda fase de Operação Denarius para combater crimes de moeda falsa
358;['Polícia Federal prende foragido da justiça uruguaia'];Polícia Federal prende foragido da justiça uruguaia
359;['Polícia Federal apreende pneus estrangeiros em Missal PR'];Polícia Federal apreende pneus estrangeiros em Missal PR
360;['Polícia Federal realiza operação de incineração de droga'];Polícia Federal realiza operação de incineração de droga
361;['PF e BPFRON apreendem veículos com cigarros contrabandeados em Guaíra PR'];PF e BPFRON apreendem veículos com cigarros contrabandeados em Guaíra PR
362;['PF prende suspeito de fraudes à Caixa Econômica Federal'];PF prende suspeito de fraudes à Caixa Econômica Federal
363;['PF, com o apoio da Polícia Militar PE, prende estrangeiro foragido da justiça portuguesa'];PF, com o apoio da Polícia Militar PE, prende estrangeiro foragido da justiça portuguesa
364;['PF deflagra Operação Anóxia, para investigar possível fraude na concessão e recebimento de bolsas de estudo em universidade'];PF deflagra Operação Anóxia, para investigar possível fraude na concessão e recebimento de bolsas de estudo em universidade
365;['PF apreende 2 kg de cocaína no Aeroporto Internacional de São Paulo'];PF apreende 2 kg de cocaína no Aeroporto Internacional de São Paulo
366;['Polícia Federal investiga desvio de recursos do Fundo Eleitoral no Amapá'];Polícia Federal investiga desvio de recursos do Fundo Eleitoral no Amapá
367;['Foragido da Justiça do Rio Grande do Sul', 'é extraditado do Uruguai para o Brasil'];Foragido da Justiça do Rio Grande do Sul é extraditado do Uruguai para o Brasil
368;['Polícia Federal prende mulher especializada em realizar furtos em bagagens de passageiros em aeroportos'];Polícia Federal prende mulher especializada em realizar furtos em bagagens de passageiros em aeroportos
369;['PF deflagra 2 operações em Mato Grosso para combater comercialização ilegal de ouro'];PF deflagra 2 operações em Mato Grosso para combater comercialização ilegal de ouro
370;['PF combate tráfico internacional de drogas'];PF combate tráfico internacional de drogas
371;['Polícia Federal deflagra operação para combater fraudes no Auxílio Emergencial e Precatórios Judiciais em Mato Grosso e em outros 11 Estados'];Polícia Federal deflagra operação para combater fraudes no Auxílio Emergencial e Precatórios Judiciais em Mato Grosso e em outros 11 Estados
372;['PF, em ação integrada, prende em flagrante um homem pela venda de medicamento de comercialização restrita'];PF, em ação integrada, prende em flagrante um homem pela venda de medicamento de comercialização restrita
373;['PF apreende mais de R 90 mil na fronteira do Brasil com a Bolívia'];PF apreende mais de R 90 mil na fronteira do Brasil com a Bolívia
374;['Polícia Federal apreende 440 kg de droga no Porto de Santos SP'];Polícia Federal apreende 440 kg de droga no Porto de Santos SP
375;['PF deflagra Operação Constantino para investigar invasões e queimadas em terras da União no Amazonas'];PF deflagra Operação Constantino para investigar invasões e queimadas em terras da União no Amazonas
376;['PF incinera 480 kg de drogas no Cariri'];PF incinera 480 kg de drogas no Cariri
377;['Polícia Federal deflagra operação de combate ao tráfico de drogas na Bahia'];Polícia Federal deflagra operação de combate ao tráfico de drogas na Bahia
378;['Polícia Federal deflagra a segunda fase da Operação Quinino'];Polícia Federal deflagra a segunda fase da Operação Quinino
379;['Polícia Federal interrompe remessa de moeda falsa no Amapá'];Polícia Federal interrompe remessa de moeda falsa no Amapá
380;['PF combate furtos contra a Caixa Econômica Federal em Chapecó SC'];PF combate furtos contra a Caixa Econômica Federal em Chapecó SC
381;['Polícia Federal realiza incursão de combate ao tráfico de drogas em Recife PE'];Polícia Federal realiza incursão de combate ao tráfico de drogas em Recife PE
382;['Polícia Federal desarticula organização criminosa voltada para o tráfico de drogas e fabricação de cédulas falsas'];Polícia Federal desarticula organização criminosa voltada para o tráfico de drogas e fabricação de cédulas falsas
383;['PF e Receita apreendem droga dentro de bombons'];PF e Receita apreendem droga dentro de bombons
384;['PF deflagra a Operação Athoótita para combater possível disseminação de pornografia infantil'];PF deflagra a Operação Athoótita para combater possível disseminação de pornografia infantil
385;['PF segue investigações sobre vacinas contra covid - 19 de origem ilícita'];PF segue investigações sobre vacinas contra covid - 19 de origem ilícita
386;['PF prende em Pau dos Ferros suspeito de integrar facção criminosa no Rio Grande do Norte'];PF prende em Pau dos Ferros suspeito de integrar facção criminosa no Rio Grande do Norte
387;['Polícia Federal realiza apreensão de droga no Porto de Santos SP'];Polícia Federal realiza apreensão de droga no Porto de Santos SP
388;['PF e BPFRON apreende quatro veículos carregados com contrabando'];PF e BPFRON apreende quatro veículos carregados com contrabando
389;['Polícia Federal apreende pistolas, fuzil e mais de 1 tonelada de cocaína no Porto de Santos SP'];Polícia Federal apreende pistolas, fuzil e mais de 1 tonelada de cocaína no Porto de Santos SP
390;['Polícia Federal prende traficante de armas e drogas procurado pela INTERPOL'];Polícia Federal prende traficante de armas e drogas procurado pela INTERPOL
391;['PF deflagra segunda fase da Operação Aversa contra o tráfico de drogas em Campo Grande MS'];PF deflagra segunda fase da Operação Aversa contra o tráfico de drogas em Campo Grande MS
392;['Polícia Federal apreende cerca de R 430 mil na fronteira com o Uruguai'];Polícia Federal apreende cerca de R 430 mil na fronteira com o Uruguai
393;['Polícia Federal combate o tráfico de drogas na fronteira com o Uruguai'];Polícia Federal combate o tráfico de drogas na fronteira com o Uruguai
394;['Operação Recôndito apura desvio de recursos públicos federais destinados ao combate do Coronavírus'];Operação Recôndito apura desvio de recursos públicos federais destinados ao combate do Coronavírus
395;['PF combate armazenamento e divulgação de imagens e vídeos de exploração sexual de crianças e adolescentes pela internet'];PF combate armazenamento e divulgação de imagens e vídeos de exploração sexual de crianças e adolescentes pela internet
396;['Polícia Federal reprime crimes contra os Correios no Amapá'];Polícia Federal reprime crimes contra os Correios no Amapá
397;['PF desarticula esquema de concessão de decisões judiciais irregulares no Rio de Janeiro'];PF desarticula esquema de concessão de decisões judiciais irregulares no Rio de Janeiro
398;['Polícia Federal realiza a prisão de uma pessoa por tráfico de drogas'];Polícia Federal realiza a prisão de uma pessoa por tráfico de drogas
399;['Polícia Federal resgata vítimas do tráfico de pessoas na Bolívia'];Polícia Federal resgata vítimas do tráfico de pessoas na Bolívia
400;['A Polícia Federal deflagra Operação Mitra para reprimir o porte ilegal de arma de fogo no Acre'];A Polícia Federal deflagra Operação Mitra para reprimir o porte ilegal de arma de fogo no Acre
401;['PF deflagra Operação Apacheta no Maranhão'];PF deflagra Operação Apacheta no Maranhão
402;['Polícia Federal localiza menor raptada em Valparaíso de Goiás', 'GO'];Polícia Federal localiza menor raptada em Valparaíso de Goiás GO
403;['PF prende homem por tráfico internacional de drogas'];PF prende homem por tráfico internacional de drogas
404;['PF e BPFRON estoura depósito milionário de contrabando'];PF e BPFRON estoura depósito milionário de contrabando
405;['PF deflagra operação de combate a fraudes no auxílio emergencial cometidas por servidores públicos'];PF deflagra operação de combate a fraudes no auxílio emergencial cometidas por servidores públicos
